pkg,pkg_type,Year,Month,date,distinctIP_downloads
DO.db,annotation,2021,Nov,2021-11-01,9693
DO.db,annotation,2021,Dec,2021-12-01,7920
DO.db,annotation,2022,Jan,2022-01-01,8032
DO.db,annotation,2022,Feb,2022-02-01,7728
DO.db,annotation,2022,Mar,2022-03-01,10773
DO.db,annotation,2022,Apr,2022-04-01,10363
DO.db,annotation,2022,May,2022-05-01,10687
DO.db,annotation,2022,Jun,2022-06-01,11558
DO.db,annotation,2022,Jul,2022-07-01,10332
DO.db,annotation,2022,Aug,2022-08-01,8238
DO.db,annotation,2022,Sep,2022-09-01,7589
DO.db,annotation,2022,Oct,2022-10-01,7934
DOSE,software,2021,Nov,2021-11-01,12627
DOSE,software,2021,Dec,2021-12-01,10008
DOSE,software,2022,Jan,2022-01-01,9439
DOSE,software,2022,Feb,2022-02-01,8895
DOSE,software,2022,Mar,2022-03-01,11966
DOSE,software,2022,Apr,2022-04-01,11361
DOSE,software,2022,May,2022-05-01,11723
DOSE,software,2022,Jun,2022-06-01,12271
DOSE,software,2022,Jul,2022-07-01,10916
DOSE,software,2022,Aug,2022-08-01,8595
DOSE,software,2022,Sep,2022-09-01,11661
DOSE,software,2022,Oct,2022-10-01,10735
