pkg,pkg_type,Year,Month,Nb_of_distinct_IPs,Nb_of_downloads
DO.db,annotation,2011,Jan,27,35
DO.db,annotation,2011,Feb,16,22
DO.db,annotation,2011,Mar,37,49
DO.db,annotation,2011,Apr,40,46
DO.db,annotation,2011,May,17,19
DO.db,annotation,2011,Jun,37,47
DO.db,annotation,2011,Jul,36,37
DO.db,annotation,2011,Aug,28,38
DO.db,annotation,2011,Sep,41,55
DO.db,annotation,2011,Oct,34,67
DO.db,annotation,2011,Nov,98,135
DO.db,annotation,2011,Dec,78,107
DO.db,annotation,2012,Jan,95,124
DO.db,annotation,2012,Feb,135,192
DO.db,annotation,2012,Mar,129,237
DO.db,annotation,2012,Apr,227,302
DO.db,annotation,2012,May,178,212
DO.db,annotation,2012,Jun,168,204
DO.db,annotation,2012,Jul,165,191
DO.db,annotation,2012,Aug,150,227
DO.db,annotation,2012,Sep,161,206
DO.db,annotation,2012,Oct,231,280
DO.db,annotation,2012,Nov,233,282
DO.db,annotation,2012,Dec,169,219
DO.db,annotation,2013,Jan,188,590
DO.db,annotation,2013,Feb,158,546
DO.db,annotation,2013,Mar,227,378
DO.db,annotation,2013,Apr,272,409
DO.db,annotation,2013,May,333,452
DO.db,annotation,2013,Jun,310,428
DO.db,annotation,2013,Jul,226,295
DO.db,annotation,2013,Aug,233,308
DO.db,annotation,2013,Sep,250,324
DO.db,annotation,2013,Oct,327,447
DO.db,annotation,2013,Nov,329,432
DO.db,annotation,2013,Dec,302,496
DO.db,annotation,2014,Jan,277,365
DO.db,annotation,2014,Feb,226,272
DO.db,annotation,2014,Mar,340,476
DO.db,annotation,2014,Apr,396,598
DO.db,annotation,2014,May,411,615
DO.db,annotation,2014,Jun,432,515
DO.db,annotation,2014,Jul,365,457
DO.db,annotation,2014,Aug,429,581
DO.db,annotation,2014,Sep,520,631
DO.db,annotation,2014,Oct,436,522
DO.db,annotation,2014,Nov,417,587
DO.db,annotation,2014,Dec,334,428
DO.db,annotation,2015,Jan,393,630
DO.db,annotation,2015,Feb,392,603
DO.db,annotation,2015,Mar,486,696
DO.db,annotation,2015,Apr,533,838
DO.db,annotation,2015,May,469,623
DO.db,annotation,2015,Jun,484,725
DO.db,annotation,2015,Jul,489,696
DO.db,annotation,2015,Aug,486,674
DO.db,annotation,2015,Sep,527,682
DO.db,annotation,2015,Oct,526,684
DO.db,annotation,2015,Nov,499,645
DO.db,annotation,2015,Dec,457,704
