id,from,doi,pmid,pmcid
1,search,10.3389/fcvm.2022.907665,36061537,PMC9433720
2,both,10.3390/ijms231911902,36233204,PMC9569903
3,search,10.1080/0886022x.2022.2081579,35713363,PMC9225740
4,search,10.2147/ijgm.s371707,35903646,PMC9316482
5,both,10.1371/journal.pone.0268159,35576218,PMC9109932
6,search,10.3389/fnagi.2022.901972,36110430,PMC9468260
7,search,10.3389/fpsyt.2022.822382,35599774,PMC9120845
8,search,10.3389/fonc.2022.776834,36185204,PMC9523251
9,both,10.1186/s12864-022-08504-w,35387615,PMC8985251
10,both,10.1038/s42003-022-03816-9,36008469,PMC9411158
11,search,10.3390/cells11091564,35563878,PMC9105661
12,search,10.3390/brainsci12040434,35447967,PMC9029312
13,search,10.3390/genes13030473,35328027,PMC8953707
14,search,10.3390/cells10112929,34831151,PMC8616258
15,both,10.7717/peerj.13061,35402106,PMC8988936
16,search,10.3390/cells11071183,35406747,PMC8997660
17,search,10.3390/molecules27144463,35889336,PMC9317794
18,search,10.3390/biology10121287,34943202,PMC8698300
19,search,10.1186/s40246-021-00366-9,34753514,PMC8579680
20,search,10.3390/ijms222212108,34829993,PMC8619767
21,both,10.1186/s12859-022-04715-w,35590258,PMC9118755
22,search,10.3390/ijms23084288,35457105,PMC9025225
23,both,10.1186/s12859-021-04173-w,34289807,PMC8296689
24,search,10.3390/biomedicines10040734,35453484,PMC9025015
25,search,10.1093/genetics/iyac005,35380657,PMC8982048
26,search,10.3389/fphar.2022.877806,35529440,PMC9068950
27,search,NA,36225644,PMC9548019
28,search,10.7150/jca.51551,33613767,PMC7890315
29,both,10.3389/fmolb.2021.617016,34026820,PMC8138129
30,both,10.3389/fgene.2022.956781,36035123,PMC9403316
31,search,10.20944/preprints202109.0201.v1,NA,NA
32,search,10.3389/fgene.2020.00695,32973862,PMC7469919
33,both,10.1093/bib/bbab270,34373890,PMC8574978
34,both,10.1093/nar/gkab556,34197603,PMC8373148
35,both,10.1371/journal.pone.0250660,33956862,PMC8101720
36,both,10.1186/s12859-021-04402-2,34663204,PMC8522253
37,search,10.1093/bioinformatics/btac541,35924984,PMC9477531
38,search,10.1002/eji.202249804,35976660,PMC9538419
39,search,10.18632/aging.204112,35675043,PMC9217709
40,both,10.3390/biom12040520,35454109,PMC9028073
41,search,10.1155/2021/1353674,34394377,PMC8360715
42,both,10.1007/s41109-021-00435-x,35013714,PMC8733431
43,both,10.1007/s10278-021-00527-1,34724143,PMC8669056
44,search,10.1093/bib/bbab141,34237135,PMC8574625
45,both,10.1097/MD.0000000000023768|10.1097/md.0000000000023768,33371142,PMC7748316
46,both,10.1186/s12859-021-04231-3,34103016,PMC8185931
47,search,10.1155/2021/3654660,34988225,PMC8720586
48,search,10.1016/j.ebiom.2021.103807,34998242,PMC8733122
49,search,10.1002/em.22396,32579259,PMC7765463
50,both,10.1042/BSR20194041|10.1042/bsr20194041,32614449,PMC7364483
51,both,10.1186/s13326-021-00241-5,33845909,PMC8042947
52,both,10.1186/s13326-019-0218-0,31931870,PMC6958746
53,search,10.1186/s12864-020-07300-8,33407110,PMC7785925
54,search,10.1093/bib/bbab191,34015823,PMC8195003
55,search,10.14744/nci.2020.12129,33623880,PMC7881431
56,search,10.1093/nar/gkab1086,34986596,PMC8728143
57,both,10.1038/s41598-021-93809-1,34253812,PMC8275784
58,both,10.1186/s12859-019-3127-4,31760947,PMC6876110
59,both,10.1038/s41588-020-0603-8,32246132,PMC7127986
60,both,10.1039/c9sc03414e,33209251,PMC7643205
61,search,10.3389/fcvm.2021.631650,34055926,PMC8163519
62,both,10.3389/fcell.2019.00222,31681758,PMC6803390
63,search,10.1101/2022.04.18.488660,NA,NA
64,search,NA,NA,NA
65,both,10.1093/bioinformatics/btac240,35758779,PMC9235496
66,search,10.1186/s13148-020-00888-4,32693820,PMC7374976
67,search,10.3390/molecules27175502,36080270,PMC9457917
68,both,10.1186/s12859-019-3081-1,31787106,PMC6886169
69,both,10.3389/fgene.2019.00832,31572444,PMC6751509
70,search,10.1186/s12859-021-04530-9,35021991,PMC8756622
71,both,10.3389/fgene.2020.613744,33574831,PMC7870792
72,search,10.1186/s13326-022-00266-4,35346379,PMC8962212
73,search,10.1684/ejd.2021.4107,34463284,PMC8572689
74,both,10.1093/database/baab031,34048547,PMC8163238
75,search,10.1186/s12859-019-2810-9,31138117,PMC6538554
76,both,10.1093/jamia/ocy161,30624645,PMC7647183
77,search,10.1155/2022/8425640,36187336,PMC9519337
78,both,10.1016/j.compbiomed.2021.104360,33836447,PMC8204262
79,both,10.1371/journal.pone.0213770,30934003,PMC6443178
80,both,10.1186/s13326-019-0208-2,31533864,PMC6751637
81,both,10.1186/s13326-021-00234-4,33579375,PMC7881657
82,search,10.1111/cpr.13238,35522426,PMC9357359
83,both,10.1093/nar/gky1032,30407550,PMC6323977
84,search,10.1101/2020.06.24.169730,NA,NA
85,search,10.1155/2020/1783564,32190036,PMC7072119
86,both,10.3389/fphar.2022.812338,35401219,PMC8983871
87,search,10.21037/tcr.2020.01.41,35117497,PMC8798990
88,search,10.1186/s12859-021-04007-9,33761868,PMC7992861
89,search,10.1093/bioinformatics/btac491,35801937,PMC9438948
90,search,10.1186/s12944-019-1142-0,31739782,PMC6862811
91,both,10.3390/biom12070932,35883487,PMC9313348
92,both,10.1093/genetics/iyab224,34897464,PMC9209811
93,both,10.1093/database/baz014,30753478,PMC6369425
94,both,10.1186/s12920-020-0679-0,32241268,PMC7118830
95,search,NA,NA,PMC8524170
96,both,10.12688/f1000research.23180.2,32864105,PMC7445559
97,search,10.1093/jamia/ocab270,34915552,PMC8800523
98,search,NA,NA,NA
99,both,10.3389/fphys.2019.00154,30863320,PMC6399412
