id,src,pmid,pmcid,doi,epmc_id,from,source,title,authorString,journalTitle,journalVolume,pubYear,journalIssn,pageInfo,pubType,isOpenAccess,inEPMC,inPMC,hasPDF,hasBook,hasSuppl,citedByCount,hasReferences,hasTextMinedTerms,hasDbCrossReferences,hasLabsLinks,hasTMAccessionNumbers,firstIndexDate,firstPublicationDate,issue,versionNumber,pub_type
1,epmc|pmc|pm,36061537,PMC9433720,10.3389/fcvm.2022.907665,36061537,search,MED,Bioinformatics approach to identify the influences of SARS-COV2 infections on atherosclerosis.,"Zhang J, Zhang L.",Front Cardiovasc Med,9,2022,2297-055x,907665,research-article; journal article,Y,Y,N,Y,N,N,0,Y,Y,N,Y,Y,2022-09-05,2022-08-18,NA,NA,journal article
3,epmc|pmc|pm,35713363,PMC9225740,10.1080/0886022x.2022.2081579,35713363,search,MED,Renal tubular gen e biomarkers identification based on immune infiltrates in focal segmental glomerulosclerosis.,"Bai J, Pu X, Zhang Y, Dai E.",Ren Fail,44,2022,0886-022x; 1525-6049;,966-986,research-article; journal article,Y,Y,N,Y,N,N,0,Y,Y,N,N,N,2022-06-18,2022-12-01,1,NA,journal article
4,epmc|pmc,35903646,PMC9316482,10.2147/ijgm.s371707,35903646,search,MED,A Pilot Mitochondrial Genome-Wide Association on Migraine Among Saudi Arabians.,"Al Asoom L, Khan J, Al Sunni A, Rafique N, Latif R, Alabdali M, AbdulAzeez S, Borgio JF.",Int J Gen Med,15,2022,1178-7074,6249-6258,research-article; journal article,Y,Y,N,Y,N,N,0,Y,Y,N,N,Y,2022-07-29,2022-07-21,NA,NA,journal article
6,epmc|pmc|pm,36110430,PMC9468260,10.3389/fnagi.2022.901972,36110430,search,MED,Integrated analysis and identification of hub genes as novel biomarkers for Alzheimer's disease.,"Zhao K, Zhang H, Wu Y, Liu J, Li X, Lin J.",Front Aging Neurosci,14,2022,1663-4365,901972,research-article; journal article,Y,Y,N,Y,N,Y,0,Y,Y,N,Y,Y,2022-09-17,2022-08-30,NA,NA,journal article
7,epmc|pmc|pm,35599774,PMC9120845,10.3389/fpsyt.2022.822382,35599774,search,MED,"Aberrations in the Cross-Talks Among Redox, Nuclear Factor-κB, and Wnt/β-Catenin Pathway Signaling Underpin Myalgic Encephalomyelitis and Chronic Fatigue Syndrome.","Maes M, Kubera M, Kotańska M.",Front Psychiatry,13,2022,1664-0640,822382,review-article; review; journal article,Y,Y,N,Y,N,Y,0,Y,Y,N,Y,Y,2022-05-24,2022-05-06,NA,NA,journal article
8,epmc|pmc,36185204,PMC9523251,10.3389/fonc.2022.776834,36185204,search,MED,TRAF3IP3 promotes glioma progression through the ERK signaling pathway.,"Lin Q, Chen Z, Shen ZL, Xue F, Qin JJ, Kang XP, Chen ZR, Xia ZY, Gao L, Chen XZ.",Front Oncol,12,2022,2234-943x,776834,research-article; journal article,Y,Y,N,Y,N,Y,0,Y,Y,N,Y,Y,2022-10-04,2022-09-16,NA,NA,journal article
11,epmc|pmc,35563878,PMC9105661,10.3390/cells11091564,35563878,search,MED,"Adverse Childhood Experiences Predict the Phenome of Affective Disorders and These Effects Are Mediated by Staging, Neuroimmunotoxic and Growth Factor Profiles.","Maes M, Rachayon M, Jirakran K, Sodsai P, Klinchanhom S, Debnath M, Basta-Kaim A, Kubera M, Almulla AF, Sughondhabirom A.",Cells,11,2022,2073-4409,1564,"research support, non-u.s. gov't; research-article; journal article",Y,Y,N,Y,N,Y,0,Y,Y,N,N,Y,2022-05-15,2022-05-07,9,NA,journal article
12,epmc|pmc,35447967,PMC9029312,10.3390/brainsci12040434,35447967,search,MED,The Human Myelin Proteome and Sub-Metalloproteome Interaction Map: Relevance to Myelin-Related Neurological Diseases.,"Chasapis CT, Kelaidonis K, Ridgway H, Apostolopoulos V, Matsoukas JM.",Brain Sci,12,2022,2076-3425,434,research-article; journal article,Y,Y,N,Y,N,Y,0,Y,Y,N,Y,Y,2022-04-22,2022-03-24,4,NA,journal article
13,epmc|pmc,35328027,PMC8953707,10.3390/genes13030473,35328027,search,MED,Detection of Target Genes for Drug Repurposing to Treat Skeletal Muscle Atrophy in Mice Flown in Spaceflight.,"Manian V, Orozco-Sandoval J, Diaz-Martinez V, Janwa H, Agrinsoni C.",Genes (Basel),13,2022,2073-4425,473,"im; research support, non-u.s. gov't; research-article; research support, u.s. gov't, non-p.h.s.; journal article",Y,Y,N,Y,N,Y,0,Y,Y,N,Y,N,2022-03-25,2022-03-08,3,NA,journal article
14,epmc|pmc,34831151,PMC8616258,10.3390/cells10112929,34831151,search,MED,First Episode Psychosis and Schizophrenia Are Systemic Neuro-Immune Disorders Triggered by a Biotic Stimulus in Individuals with Reduced Immune Regulation and Neuroprotection.,"Maes M, Plaimas K, Suratanee A, Noto C, Kanchanatawan B.",Cells,10,2021,2073-4409,2929,"im; research support, non-u.s. gov't; research-article; journal article",Y,Y,N,Y,N,Y,2,Y,Y,N,Y,Y,2021-12-01,2021-10-28,11,NA,journal article
