search_id,id,source,pmid,pmcid,doi,title,authorString,journalTitle,journalVolume,pubYear,journalIssn,pageInfo,pubType,isOpenAccess,inEPMC,inPMC,hasPDF,hasBook,hasSuppl,citedByCount,hasReferences,hasTextMinedTerms,hasDbCrossReferences,hasLabsLinks,hasTMAccessionNumbers,firstIndexDate,firstPublicationDate,issue,versionNumber
ns_id,36061537,MED,36061537,PMC9433720,10.3389/fcvm.2022.907665,Bioinformatics approach to identify the influences of SARS-COV2 infections on atherosclerosis.,"Zhang J, Zhang L.",Front Cardiovasc Med,9,2022,2297-055x,907665,research-article; journal article,Y,Y,N,Y,N,N,0,Y,Y,N,Y,Y,2022-09-05,2022-08-18,NA,NA
ns_id,36233204,MED,36233204,PMC9569903,10.3390/ijms231911902,Assessment of DDAH1 and DDAH2 Contributions to Psychiatric Disorders via In Silico Methods.,"Kozlova AA, Vaganova AN, Rodionov RN, Gainetdinov RR, Bernhardt N.",Int J Mol Sci,23,2022,1422-0067,11902,research-article; journal article,Y,Y,N,Y,N,Y,0,Y,Y,N,Y,Y,2022-10-14,2022-10-07,19,NA
ns_id,35713363,MED,35713363,PMC9225740,10.1080/0886022x.2022.2081579,Renal tubular gen e biomarkers identification based on immune infiltrates in focal segmental glomerulosclerosis.,"Bai J, Pu X, Zhang Y, Dai E.",Ren Fail,44,2022,0886-022x; 1525-6049; ,966-986,research-article; journal article,Y,Y,N,Y,N,N,0,Y,Y,N,N,N,2022-06-18,2022-12-01,1,NA
ns_id,35903646,MED,35903646,PMC9316482,10.2147/ijgm.s371707,A Pilot Mitochondrial Genome-Wide Association on Migraine Among Saudi Arabians.,"Al Asoom L, Khan J, Al Sunni A, Rafique N, Latif R, Alabdali M, AbdulAzeez S, Borgio JF.",Int J Gen Med,15,2022,1178-7074,6249-6258,research-article; journal article,Y,Y,N,Y,N,N,0,Y,Y,N,N,Y,2022-07-29,2022-07-21,NA,NA
ns_id,35576218,MED,35576218,PMC9109932,10.1371/journal.pone.0268159,A molecular view of amyotrophic lateral sclerosis through the lens of interaction network modules.,"Jensen KH, Stalder AK, Wernersson R, Roloff-Handschin TC, Hansen DH, Groenen PMA.",PLoS One,17,2022,1932-6203,e0268159,"research support, non-u.s. gov't; research-article; journal article",Y,Y,N,Y,N,Y,0,Y,Y,N,Y,Y,2022-05-17,2022-05-16,5,NA
ns_id,36110430,MED,36110430,PMC9468260,10.3389/fnagi.2022.901972,Integrated analysis and identification of hub genes as novel biomarkers for Alzheimer's disease.,"Zhao K, Zhang H, Wu Y, Liu J, Li X, Lin J.",Front Aging Neurosci,14,2022,1663-4365,901972,research-article; journal article,Y,Y,N,Y,N,Y,0,Y,Y,N,Y,Y,2022-09-17,2022-08-30,NA,NA
ns_id,35599774,MED,35599774,PMC9120845,10.3389/fpsyt.2022.822382,"Aberrations in the Cross-Talks Among Redox, Nuclear Factor-κB, and Wnt/β-Catenin Pathway Signaling Underpin Myalgic Encephalomyelitis and Chronic Fatigue Syndrome.","Maes M, Kubera M, Kotańska M.",Front Psychiatry,13,2022,1664-0640,822382,review-article; review; journal article,Y,Y,N,Y,N,Y,0,Y,Y,N,Y,Y,2022-05-24,2022-05-06,NA,NA
ns_id,36185204,MED,36185204,PMC9523251,10.3389/fonc.2022.776834,TRAF3IP3 promotes glioma progression through the ERK signaling pathway.,"Lin Q, Chen Z, Shen ZL, Xue F, Qin JJ, Kang XP, Chen ZR, Xia ZY, Gao L, Chen XZ.",Front Oncol,12,2022,2234-943x,776834,research-article; journal article,Y,Y,N,Y,N,Y,0,Y,Y,N,Y,Y,2022-10-04,2022-09-16,NA,NA
ns_id,35387615,MED,35387615,PMC8985251,10.1186/s12864-022-08504-w,Explore potential disease related metabolites based on latent factor model.,"Wang Y, Juan L, Peng J, Wang T, Zang T, Wang Y.",BMC Genomics,23,2022,1471-2164,269,research-article; journal article,Y,Y,N,Y,N,N,0,Y,Y,N,Y,N,2022-04-07,2022-04-06,suppl 1,NA
ns_id,36008469,MED,36008469,PMC9411158,10.1038/s42003-022-03816-9,LeMeDISCO is a computational method for large-scale prediction & molecular interpretation of disease comorbidity.,"Astore C, Zhou H, Ilkowski B, Forness J, Skolnick J.",Commun Biol,5,2022,2399-3642,870,"research-article; journal article; research support, n.i.h., extramural",Y,Y,N,Y,N,Y,0,Y,Y,N,Y,N,2022-08-26,2022-08-25,1,NA
ns_id,35563878,MED,35563878,PMC9105661,10.3390/cells11091564,"Adverse Childhood Experiences Predict the Phenome of Affective Disorders and These Effects Are Mediated by Staging, Neuroimmunotoxic and Growth Factor Profiles.","Maes M, Rachayon M, Jirakran K, Sodsai P, Klinchanhom S, Debnath M, Basta-Kaim A, Kubera M, Almulla AF, Sughondhabirom A.",Cells,11,2022,2073-4409,1564,"research support, non-u.s. gov't; research-article; journal article",Y,Y,N,Y,N,Y,0,Y,Y,N,N,Y,2022-05-15,2022-05-07,9,NA
ns_id,35447967,MED,35447967,PMC9029312,10.3390/brainsci12040434,The Human Myelin Proteome and Sub-Metalloproteome Interaction Map: Relevance to Myelin-Related Neurological Diseases.,"Chasapis CT, Kelaidonis K, Ridgway H, Apostolopoulos V, Matsoukas JM.",Brain Sci,12,2022,2076-3425,434,research-article; journal article,Y,Y,N,Y,N,Y,0,Y,Y,N,Y,Y,2022-04-22,2022-03-24,4,NA
ns_id,35328027,MED,35328027,PMC8953707,10.3390/genes13030473,Detection of Target Genes for Drug Repurposing to Treat Skeletal Muscle Atrophy in Mice Flown in Spaceflight. ,"Manian V, Orozco-Sandoval J, Diaz-Martinez V, Janwa H, Agrinsoni C.",Genes (Basel),13,2022,2073-4425,473,"im; research support, non-u.s. gov't; research-article; research support, u.s. gov't, non-p.h.s.; journal article",Y,Y,N,Y,N,Y,0,Y,Y,N,Y,N,2022-03-25,2022-03-08,3,NA
ns_id,34831151,MED,34831151,PMC8616258,10.3390/cells10112929,First Episode Psychosis and Schizophrenia Are Systemic Neuro-Immune Disorders Triggered by a Biotic Stimulus in Individuals with Reduced Immune Regulation and Neuroprotection. ,"Maes M, Plaimas K, Suratanee A, Noto C, Kanchanatawan B.",Cells,10,2021,2073-4409,2929,"im; research support, non-u.s. gov't; research-article; journal article",Y,Y,N,Y,N,Y,2,Y,Y,N,Y,Y,2021-12-01,2021-10-28,11,NA
ns_id,35402106,MED,35402106,PMC8988936,10.7717/peerj.13061,Combining biomedical knowledge graphs and text to improve predictions for drug-target interactions and drug-indications.,"Alshahrani M, Almansour A, Alkhaldi A, Thafar MA, Uludag M, Essack M, Hoehndorf R.",PeerJ,10,2022,2167-8359,e13061,research-article; journal article,Y,Y,N,Y,N,Y,0,Y,Y,N,Y,N,2022-04-11,2022-04-04,NA,NA
ns_id,35406747,MED,35406747,PMC8997660,10.3390/cells11071183,The Immune Profile of Major Dysmood Disorder: Proof of Concept and Mechanism Using the Precision Nomothetic Psychiatry Approach.,"Maes M, Rachayon M, Jirakran K, Sodsai P, Klinchanhom S, Gałecki P, Sughondhabirom A, Basta-Kaim A.",Cells,11,2022,2073-4409,1183,research-article; journal article,Y,Y,N,Y,N,Y,1,Y,Y,N,N,Y,2022-04-13,2022-03-31,7,NA
ns_id,35889336,MED,35889336,PMC9317794,10.3390/molecules27144463,A Novel Based-Network Strategy to Identify Phytochemicals from Radix Salviae Miltiorrhizae (Danshen) for Treating Alzheimer's Disease.,"Li B, Wu YR, Li L, Liu Y, Yan ZY.",Molecules,27,2022,1420-3049,4463,research-article; journal article,Y,Y,N,Y,N,Y,0,Y,Y,N,Y,N,2022-07-28,2022-07-12,14,NA
ns_id,34943202,MED,34943202,PMC8698300,10.3390/biology10121287,Matching Biomedical Ontologies through Adaptive Multi-Modal Multi-Objective Evolutionary Algorithm. ,"Xue X, Tsai PW, Zhuang Y.",Biology (Basel),10,2021,2079-7737,1287,research-article; journal article,Y,Y,N,Y,N,N,0,Y,Y,N,Y,N,2021-12-25,2021-12-07,12,NA
