search_id,pmid,pmcid,doi
ns_id,36129153,PMC9535628,10.3892/or.2022.8410
ns_id,36233204,PMC9569903,10.3390/ijms231911902
ns_id,36110430,PMC9468260,10.3389/fnagi.2022.901972
ns_id,36061537,PMC9433720,10.3389/fcvm.2022.907665
ns_id,36271389,PMC9585694,10.1186/s13326-022-00279-z
ns_id,35882847,PMC9325891,10.1038/s41467-022-31707-4
ns_id,35889336,PMC9317794,10.3390/molecules27144463
ns_id,35903646,PMC9316482,10.2147/IJGM.S371707
ns_id,35883487,PMC9313348,10.3390/biom12070932
ns_id,35877764,PMC9312389,10.1371/journal.pone.0271737
ns_id,35821017,PMC9276653,10.1038/s41597-022-01510-3
ns_id,35713363,PMC9225740,10.1080/0886022X.2022.2081579
ns_id,36225644,PMC9548019,NA
ns_id,35976660,PMC9538419,10.1002/eji.202249804
ns_id,36185204,PMC9523251,10.3389/fonc.2022.776834
ns_id,36175836,PMC9520835,10.1186/s12859-022-04932-3
ns_id,35924984,PMC9477531,10.1093/bioinformatics/btac541
ns_id,36085310,PMC9463154,10.1038/s41467-022-33026-0
ns_id,36080270,PMC9457917,10.3390/molecules27175502
ns_id,35801937,PMC9438948,10.1093/bioinformatics/btac491
ns_id,NA,PMC9421640,10.1007/s40264-022-01219-7
ns_id,36008469,PMC9411158,10.1038/s42003-022-03816-9
ns_id,36035123,PMC9403316,10.3389/fgene.2022.956781
ns_id,35522426,PMC9357359,10.1111/cpr.13238
ns_id,35913949,PMC9342740,10.1371/journal.pone.0271989
ns_id,35907849,PMC9338627,10.1186/s12920-022-01314-9
ns_id,35902925,PMC9335954,10.1186/s12911-022-01927-1
ns_id,35366592,PMC9252326,10.1016/j.cancergen.2022.03.001
ns_id,35782902,PMC9247670,10.3892/ol.2022.13390
ns_id,35760791,PMC9237040,10.1038/s41467-022-31030-y
ns_id,35675043,PMC9217709,10.18632/aging.204112
ns_id,34897464,PMC9209811,10.1093/genetics/iyab224
ns_id,35703610,PMC9190514,10.1590/S1678-9946202264041
ns_id,35599774,PMC9120845,10.3389/fpsyt.2022.822382
ns_id,35590258,PMC9118755,10.1186/s12859-022-04715-w
ns_id,35576218,PMC9109932,10.1371/journal.pone.0268159
ns_id,35563878,PMC9105661,10.3390/cells11091564
ns_id,35487924,PMC9054771,10.1038/s41540-022-00226-9
ns_id,35529440,PMC9068950,10.3389/fphar.2022.877806
ns_id,35457105,PMC9025225,10.3390/ijms23084288
ns_id,35454813,PMC9029532,10.3390/cancers14081906
ns_id,35387615,PMC8985251,10.1186/s12864-022-08504-w
ns_id,35402106,PMC8988936,10.7717/peerj.13061
ns_id,35406747,PMC8997660,10.3390/cells11071183
ns_id,35454109,PMC9028073,10.3390/biom12040520
ns_id,35346379,PMC8962212,10.1186/s13326-022-00266-4
ns_id,35447967,PMC9029312,10.3390/brainsci12040434
ns_id,35401219,PMC8983871,10.3389/fphar.2022.812338
ns_id,35453484,PMC9025015,10.3390/biomedicines10040734
ns_id,35327643,PMC8946103,10.3390/biom12030451
ns_id,35328027,PMC8953707,10.3390/genes13030473
ns_id,35380658,PMC8982023,10.1093/genetics/iyac022
ns_id,35169842,PMC8847733,10.1093/gigascience/giac003
ns_id,35143484,PMC8830725,10.1371/journal.pcbi.1009726
ns_id,35140225,PMC8828759,10.1038/s41467-022-28348-y
ns_id,35134929,PMC8982018,10.1093/genetics/iyac003
ns_id,35380657,PMC8982048,10.1093/genetics/iyac005
ns_id,35021991,PMC8756622,10.1186/s12859-021-04530-9
ns_id,35013714,PMC8733431,10.1007/s41109-021-00435-x
ns_id,34998242,PMC8733122,10.1016/j.ebiom.2021.103807
ns_id,35008194,PMC8750504,10.3390/cancers14010034
ns_id,34915552,PMC8800523,10.1093/jamia/ocab270
ns_id,34943202,PMC8698300,10.3390/biology10121287
ns_id,34819133,PMC8611952,10.1186/s13321-021-00569-1
