search_id,pmid,pmcid,doi
ns_id,35599774,PMC9120845,10.3389/fpsyt.2022.822382
ns_id,30441083,NA,NA
ns_id,27638616,PMC5129482,10.1002/jnr.23804
ns_id,27577487,NA,NA
ns_id,25841438,PMC4385274,10.1093/database/bav032
ns_id,22080554,PMC3245088,10.1093/nar/gkr972
full_name,34920520,NA,NA
full_name,34755882,PMC8728220,10.1093/nar/gkab1063
full_name,34026820,PMC8138129,10.3389/fmolb.2021.617016
full_name,31931870,PMC6958746,10.1186/s13326-019-0218-0
full_name,30863320,PMC6399412,10.3389/fphys.2019.00154
full_name,30815154,PMC6371303,NA
full_name,30407550,PMC6323977,10.1093/nar/gky1032
full_name,27577487,NA,NA
full_name,25348409,PMC4383880,10.1093/nar/gku1011
full_name,23161684,PMC3531119,10.1093/nar/gks1080
full_name,22779057,PMC3392068,NA
full_name,22711793,PMC3493115,10.1093/bioinformatics/bts350
full_name,22541594,PMC3337258,10.1186/2041-1480-3-S1-S3
full_name,22165947,PMC3271090,10.1186/1471-2164-12-603
full_name,21550421,PMC3392036,10.1016/j.jbi.2011.04.007
full_name,17108609,NA,NA
generic_name,36248192,PMC9553458,10.1155/2022/1878766
generic_name,36238572,PMC9553197,10.3389/fphar.2022.1001553
generic_name,36202977,PMC9537298,10.1038/s41598-022-21050-5
generic_name,36189217,PMC9515394,10.3389/fimmu.2022.1007426
generic_name,36171337,PMC9519928,10.1038/s41598-022-20529-5
generic_name,36149471,PMC9636095,10.1007/s00103-022-03591-2
generic_name,36110430,PMC9468260,10.3389/fnagi.2022.901972
generic_name,36082523,PMC9533252,10.1302/2046-3758.119.BJR-2022-0075.R1
generic_name,36070867,NA,NA
generic_name,36061537,PMC9433720,10.3389/fcvm.2022.907665
generic_name,36018415,NA,NA
generic_name,35958546,PMC9358976,10.3389/fimmu.2022.936707
generic_name,35958412,PMC9357907,10.3389/fcvm.2022.939972
generic_name,35929521,PMC9540552,10.1111/1467-9566.13503
generic_name,35928610,PMC9344404,10.21037/jtd-22-632
generic_name,35878275,PMC9321508,10.3390/toxics10070370
generic_name,35840880,PMC9287878,10.1186/s12872-022-02754-y
generic_name,35834966,NA,NA
generic_name,35785145,PMC9246600,10.1155/2022/9043300
generic_name,35754819,PMC9214213,10.3389/fgene.2022.907754
generic_name,35719392,PMC9198487,10.3389/fgene.2022.858466
generic_name,35713363,PMC9225740,10.1080/0886022X.2022.2081579
generic_name,35711934,PMC9196128,10.3389/fgene.2022.864100
generic_name,35710803,PMC9203786,10.1038/s41598-022-14412-6
generic_name,35673013,NA,NA
generic_name,35622496,NA,NA
generic_name,35571048,PMC9095904,10.3389/fgene.2022.834928
generic_name,35472336,NA,NA
generic_name,35437726,NA,NA
generic_name,35363306,PMC9216550,10.1093/database/baac014
generic_name,35347632,NA,NA
generic_name,35346191,PMC8962515,10.1186/s12920-022-01221-z
generic_name,35292119,PMC8922780,10.1186/s13326-022-00264-6
generic_name,35273637,PMC8902304,10.3389/fgene.2022.799783
generic_name,35194992,NA,NA
generic_name,35155491,PMC8831795,10.3389/fmed.2022.770031
generic_name,35127624,PMC8811031,10.3389/fpubh.2021.793801
generic_name,35085427,NA,NA
generic_name,35058726,PMC8753521,10.1016/j.jgr.2021.07.008
generic_name,34938325,PMC8685457,10.3389/fgene.2021.784215
generic_name,34920520,NA,NA
generic_name,34891745,NA,NA
generic_name,34891707,NA,NA
generic_name,34880901,PMC8645574,10.3389/fgene.2021.747576
generic_name,34755882,PMC8728220,10.1093/nar/gkab1063
generic_name,34753514,PMC8579680,10.1186/s40246-021-00366-9
generic_name,34698891,PMC8913530,10.1007/s00335-021-09921-0
generic_name,34697898,PMC8581323,10.1111/jcmm.17015
generic_name,34653224,PMC8519453,10.1371/journal.pone.0258623
generic_name,34478379,NA,NA
generic_name,34456726,PMC8385362,10.3389/fphar.2021.700703
generic_name,34454610,PMC8400831,10.1186/s13326-021-00250-4
generic_name,34448623,NA,NA
generic_name,34381790,PMC8352440,10.3389/fcell.2021.722410
generic_name,34298860,PMC8303726,10.3390/ijms22147240
generic_name,34289807,PMC8296689,10.1186/s12859-021-04173-w
generic_name,34275487,PMC8286442,10.1186/s13326-021-00245-1
generic_name,34271012,NA,NA
generic_name,34249099,PMC8267867,10.3389/fgene.2021.682565
generic_name,34224898,PMC8252699,10.1016/j.jbi.2021.103861
generic_name,34157517,NA,NA
generic_name,34134612,PMC8210375,10.1186/s12859-021-04256-8
generic_name,34103005,PMC8186185,10.1186/s12872-021-02092-5
generic_name,34034806,PMC8148415,10.1186/s13148-021-01102-9
generic_name,34026820,PMC8138129,10.3389/fmolb.2021.617016
generic_name,34021236,PMC8140130,10.1038/s42003-021-02094-1
generic_name,33978702,NA,NA
